id	name_en	name_de	polygon_simple	polygon
area_de_ni_10	Vierhöfen	Vierhöfen	POLYGON ((10.2492488 53.296461299102624, 10.2505047 53.2959970991026, 10.2531984 53.29840759910275, 10.254784700000002 53.299532899102836, 10.2528843 53.30014519910287, 10.2515954 53.298910699102784, 10.2492488 53.296461299102624))	POLYGON ((10.2492488 53.296461299102624, 10.2505047 53.2959970991026, 10.2531984 53.29840759910275, 10.254784700000002 53.299532899102836, 10.2528843 53.30014519910287, 10.2515954 53.298910699102784, 10.2492488 53.296461299102624))
area_de_ni_11	Winsen (Luhe)	Winsen (Luhe)	POLYGON ((10.299452800000001 53.330401099105046, 10.3067319 53.329293399104955, 10.3073376 53.33046689910503, 10.300873999999999 53.33151629910514, 10.299452800000001 53.330401099105046))	POLYGON ((10.299452800000001 53.330401099105046, 10.3067319 53.329293399104955, 10.3073376 53.33046689910503, 10.300873999999999 53.33151629910514, 10.299452800000001 53.330401099105046))
area_de_ni_18	Nordseeinsel Memmert	Nordseeinsel Memmert	POLYGON ((6.863767700000001 53.642483099134644, 6.8915927 53.62416809913254, 6.894141099999998 53.64376959913479, 6.9092816 53.65032329913556, 6.863767700000001 53.642483099134644))	POLYGON ((6.863767700000001 53.642483099134644, 6.864362100000001 53.638888099134256, 6.872027300000002 53.631501999133384, 6.879893200000001 53.62667019913281, 6.8915927 53.62416809913254, 6.8970593 53.62527219913267, 6.9005361999999995 53.62868079913304, 6.8976215 53.630072299133225, 6.894589500000001 53.63064999913329, 6.8951109 53.63675839913397, 6.894141099999998 53.64376959913479, 6.9012392 53.64573559913502, 6.9082173 53.64818019913531, 6.9092816 53.65032329913556, 6.9081315000000005 53.65196059913576, 6.9047841 53.653181399135896, 6.900277400000001 53.65426739913604, 6.8935858 53.65300629913586, 6.8872767 53.650203799135525, 6.879620599999999 53.64876019913536, 6.8753892 53.648761499135375, 6.865928500000002 53.64653179913513, 6.863767700000001 53.642483099134644))
area_de_ni_47	Dörverden	Dörverden	POLYGON ((9.3277031 52.76667839908418, 9.3277149 52.766471099084164, 9.3310509 52.76564129908415, 9.3312302 52.765845499084165, 9.3321084 52.76602019908417, 9.3313779 52.76652109908415, 9.329571299999998 52.76670909908416, 9.3285775 52.76676419908416, 9.3277031 52.76667839908418))	POLYGON ((9.3277031 52.76667839908418, 9.3277149 52.766471099084164, 9.3310509 52.76564129908415, 9.3312302 52.765845499084165, 9.3321084 52.76602019908417, 9.3313779 52.76652109908415, 9.329571299999998 52.76670909908416, 9.3285775 52.76676419908416, 9.3277031 52.76667839908418))
