osmId,typeOfBuilding,geometry,lat,long,name,operator,brand,openingHours
3251947884,post_office,0101000020E6100000C44A60CEC7E820400F4B033FAA8E4A40,53.1145705,8.4546494,Hermes Paketshop,Ihr Bioladen,unknown,unknown
3257180397,post_office,0101000020E61000009D5F39E74C632340E31291ABA2E64940,51.8018393,9.6939461,Post-Agentur,unknown,unknown,unknown
3264951200,post_office,0101000020E6100000EBD852510630244062F48189E4174A40,52.1866619,10.0937982,Postfiliale bei Skribo Papyros,unknown,unknown,unknown
3266863968,post_office,0101000020E6100000A3AAAEE87BEA25404B703491E3774A40,52.9366323,10.9579766,GLS,General Logistics Systems Germany GmbH & Co. OHG,GLS,unknown
3274248806,post_office,0101000020E610000068D94933CCF71D40DA226937FABD4A40,53.4841985,7.4919899,Deutsche Post,unknown,unknown,unknown
3281232887,post_office,0101000020E6100000C7928323924A2140B9F8252C3BBC4A40,53.4705558,8.6456462,Hermes,Marlies Schnakenberg,unknown,Mo
3283531584,post_office,0101000020E6100000216A91A3EF842440DF0D582888314A40,52.3869677,10.2596408,DHL Paketshop,Schüler & Asnet GmbH,unknown,unknown
3292730161,post_office,0101000020E6100000883FD4C78DD41F4017B36F383D574A40,52.6815558,7.9575721,Postfiliale im Tabakladen,unknown,unknown,Mo-Fr 08:00-21:00; Sa 08:00-20:00; PH off
3301307562,post_office,0101000020E61000008886C5A86B451F40A8B51FDF94564A40,52.6764182,7.8177935,Postfiliale Menslage,Deutsche Post,unknown,unknown
3304407164,post_office,0101000020E610000048437C163ACD2040E73FFF98311F4A40,52.2437011,8.4008338,unknown,unknown,unknown,Mo-Fr 08:00-12:30
3323913202,post_office,0101000020E61000003F43EED8BEBA20400D1AFA27B84E4A40,52.614995,8.3647373,unknown,DHL Paketshop - Schuh- & Schlüsseldienst Nikodem,unknown,Mo-Fr 08:00-21:00; Sa 08:00-21:00; Su off
3323913203,post_office,0101000020E61000000F80B8AB57C120408933750DE94E4A40,52.6164872,8.377622,unknown,DHL Paketshop - Reifen Günther,unknown,Mo-Fr 06:00-22:00; Sa 06:00-22:00; Su 08:00-22:00
3323913204,post_office,0101000020E6100000C9EA56CF49BB20407A77BF65A94D4A40,52.6067321,8.3657975,unknown,DHL Paketshop - Combi-Verbrauchermarkt,unknown,Mo-Fr 08:00-21:00; Sa 08:00-21:00; Su off
3323913205,post_office,0101000020E61000004DA25EF069F620405559CAE8364E4A40,52.6110507,8.481277,unknown,Deutsche Post AG,unknown,Mo-Fr 08:00-12:00
3333664657,post_office,0101000020E61000004A9EEBFB70D01F405690550042564A40,52.6738892,7.953556,GLS-Paketshop,Hannelore Henke,unknown,Mo-Fr 06:30-18:00; Sa 06:30-13:00; Su 07:30-18:00
3342365241,post_office,0101000020E610000029F51BDC8C1521402478E860A2844A40,53.0362054,8.5420903,Postagentur,unknown,unknown,Mo-Fr 08:00-19:00; Sa 08:00-13:00
3357608158,post_office,0101000020E61000002371EA5E827222404051D9B0A6554A40,52.6691495,9.2236509,unknown,Deutsche Post,unknown,Mo-Sa 09:00-12:00; PH off
3364481573,post_office,0101000020E6100000994869368F2B2240BE59396A3B194A40,52.1971257,9.085077,Poststelle in der Getränke-Quelle,unknown,unknown,unknown
3364650109,post_office,0101000020E61000006E2B07C43528224064EAAEEC82174A40,52.183683,9.0785352,Poststelle im Haus Bürotechnik Lohse,unknown,unknown,unknown
3373594123,post_office,0101000020E6100000874B3382320A2340CF6E884C54E04940,51.7525726,9.5199166,unknown,unknown,unknown,Mo-Fr 10:00-12:00
3377987453,post_office,0101000020E61000008C39BEAC3F5021402C0FD253E4BC4A40,53.475718,8.6567358,unknown,UPS,unknown,unknown
3383476323,post_office,0101000020E6100000D900B6CD9E1922404BBF33901D1B4A40,52.2118397,9.0500397,unknown,unknown,unknown,unknown
3386584841,post_office,0101000020E6100000DB87612C78BE2440841E204E16074A40,52.0553682,10.3720106,Hermes Paketversand,Hermes,unknown,unknown
3387881153,post_office,0101000020E610000021AA95AE058623407B9CB34F112B4A40,52.3364658,9.7617621,Deutsche Post,unknown,unknown,unknown
3390955341,post_office,0101000020E6100000F5EAD275977A1F405189EB1857454A40,52.5417205,7.8697184,Gelbe Punkt,unknown,unknown,unknown
3412479254,post_office,0101000020E610000032964451FB502140E88B18D1D1BC4A40,53.4751531,8.6581674,Deutsche Post Verteilzentrum Loxstedt,unknown,unknown,unknown
3421715061,post_office,0101000020E6100000E29C6C5E3067254020D1A9D0E5564A40,52.6788884,10.7015409,Hermes Paketshop,Hermes,unknown,unknown
3437372828,post_office,0101000020E610000017629A8EA53C2540869B429DA8CB4940,51.5910832,10.6184506,DHL Paketshop,DHL,unknown,unknown
3439765670,warehouse,0101000020E61000009B9E6637E98423409EF98B8F05B34940,51.3986072,9.7595918,Lehnkering GmbH,unknown,unknown,unknown
3439767694,warehouse,0101000020E61000006DEF09C84D83234062CA767412B34940,51.3990007,9.7564528,Wessels + Müller AG,unknown,unknown,unknown
3440440687,post_office,0101000020E6100000BC87951B56CE2440C5341D4B69344A40,52.4094633,10.4030007,Hermes Paketshop,unknown,unknown,unknown
3442915229,post_office,0101000020E6100000DDE1C0F57275254077C075C58CA54A40,53.2933585,10.7293927,unknown,unknown,unknown,unknown
3456925922,post_office,0101000020E610000016BC8D72D52D2440D879652838804A40,53.0017138,10.0895191,Deutsche Post,unknown,unknown,Mo-Fr 09:00-11:00; Sa 09:00-18:00
3459014535,post_office,0101000020E610000052989C7F6037244008E7F80DB87E4A40,52.9899919,10.1081581,unknown,unknown,unknown,Mo-Sa 07:00-21:00
3484951041,post_office,0101000020E61000007D3892150DC31D40246D99C239A74A40,53.3064502,7.4404796,Postagentur,unknown,unknown,Mo-Fr 06:00-12:00
3488207229,post_office,0101000020E610000074C410EFEF562540AA34BD1F122A4A40,52.3286781,10.6697993,unknown,unknown,unknown,unknown
3494627331,post_office,0101000020E6100000C881B28410D72440C48256BB81F44940,51.9102091,10.4200479,Hauptpost,unknown,unknown,unknown
3495938557,post_office,0101000020E61000003EB14E95EF5925409C8FC6FC370E4A40,52.1110836,10.675656,unknown,Deutsche Post,unknown,Mo
3498792717,post_office,0101000020E61000002106BAF605AC2340220B879455364A40,52.4244867,9.835983,unknown,Deutsche Post,unknown,Mo-Fr 09:00-20:00; Sa 09:00-18:00; Su
3500440266,post_office,0101000020E6100000D01BDDF75E06244056D80C7041394A40,52.4473095,10.0124433,Postfiliale bei Schüler & Asnet,unknown,unknown,unknown
3510807134,post_office,0101000020E6100000A66E1DD25E6B1B40BB04F1CBAA4D4A40,52.6067748,6.8548539,Hermes Paketdienst,unknown,unknown,unknown
3510819139,post_office,0101000020E61000000C0FF5166A681B409CB69091FD4D4A40,52.6093008,6.8519672,DHL Paketzentrum,unknown,unknown,unknown
3541070906,post_office,0101000020E61000004B83914DA87624406C09F9A0670B4A40,52.0891,10.2317528,Agentur der Deutschen Post,Silvia Bormann,unknown,unknown
3554213716,post_office,0101000020E6100000E17EC00303E820409BDF7A5E3BB34A40,53.4002493,8.453148,Postfiliale,Deutsche Post,unknown,Mo-Fr 09:00-12:30
3563662039,post_office,0101000020E610000028CF616303C221403EB324404D894A40,53.07267,8.8789321,Der Laden,unknown,DHL,Mo-Tu 10:00-13:00
3566094816,post_office,0101000020E610000054D5BAC3DCB024405D847357C0F74940,51.9355573,10.3454343,Postfiliale Peter Wiesner,Deutsche Post,unknown,Mo-Fr 09:00-12:30
3567077535,post_office,0101000020E6100000427E3672DDF41E4096FE6F3667B54A40,53.4172123,7.739126,Deutsche Post Filiale im Einzelhandel,Deutsche Post,unknown,Mo-Sa 08:00-20:00; PH off
3574324395,post_office,0101000020E610000060E7A6CD386520401F189BB1C3424A40,52.5215971,8.197699,Postkasten,unknown,unknown,unknown
3581136793,post_office,0101000020E6100000809AFFFC63622040E709DF56D5424A40,52.5221356,8.1921691,Ding's Da,unknown,unknown,Mo-Fr 08:30-18:30; Sa 08:30-16:00;Su Off
3587707767,post_office,0101000020E6100000392630421D2B254016AEA29AED084A40,52.0697511,10.5842076,unknown,Deutsche Post,unknown,2015-06-11
