osm_id,street_type,max_speed,start_time,end_time,number_of_records,number_of_drivers,average_speed,season,daylight,is_weekend,day_type,geometry
41125978,motorway,120,2017-09-21 16:00:00,2017-09-21 16:30:00,33,17,93.9090909090909,autumn,Daylight,false,Thu,0102000020110F0000190000005B2FAA52F3D830413C373C78C49E5A4170269AEDBFD93041D637F119F99E5A41085F19A00BDA3041781E78390D9F5A41363BE0D155DA3041F16C383C229F5A4108071E4EE8DA30417B9F8A4C4C9F5A41C4195C8718DB30416F8D78F65B9F5A4106D0DBD63BDB3041BDF90536689F5A414FC2493C6FDB30414D7540BB7A9F5A41C1000504A0DB30412D175A938D9F5A412B659679D1DB30410678259FA19F5A419BA80FA502DC304167A83B6EB69F5A4163863D0531DC30411AB85ECBCB9F5A41B235EBE95CDC304168C1CB97E19F5A41CDA6F5AA85DC30414771D520F79F5A41193E7720ABDC30413BD176E70CA05A410C6FCAB6D9DC304141EB9B7D2BA05A416DD2CB3F04DD3041CFB9FD274AA05A410CECD57A20DD3041EA8FB1EB5EA05A412117765E38DD3041C2FAF3D273A05A41CEC5CFFA49DD304157A514FE84A05A4116FC16305ADD30418D3E085596A05A41A80B9F3A6ADD304155BF99E9AAA05A4180F24DAA77DD30411B4B165DBFA05A410E057AA885DD3041ACBE099FD9A05A417B680AFD89DD30411C90B46CE1A05A41
152136425,motorway,none,2017-08-21 13:30:00,2017-08-21 14:00:00,36,14,94.91666666666664,summer,Daylight,false,Mon,0102000020110F00001900000092E948D500433141EB1D8726BD015A41B2DB923A75433141022F6BAAAC015A4108B0F1213B4431411FBCC60E8F015A4147939690934431418DB825E980015A419CAF14EDD74431413AAA305476015A415B15545C4945314139F8FFA862015A41949DF4ACEB453141347DB96346015A4177A07A09364631416D08D1D338015A417C63F0AA8D4631414C662B9527015A4149D3B14A0B473141B695E3810F015A41F3A2116C80473141B2A2C43AF8005A418E887D23EE473141048183F9E0005A41D58782E1514831417F17CCDCCB005A4161489C05AF4831414DFF309CB6005A418C385BC6FA48314157F30D1EA5005A4103149E53DA493141CCC20B016E005A4194B32890054A31416F02509162005A413EF3857F5F4A3141931CAEC74A005A41385966F5CC4A3141579051E42C005A4189D3EBD24E4B31416CCBFE7A06005A41C3E55833AD4B3141231F54E2E9FF594136C70D9BCD4B31415D53C962DFFF5941946888DE304C31416BC7CF39BFFF5941586C7A27C34C3141895E27D48CFF5941779149C1104D3141D8C3D9866EFF5941
25339633,motorway,none,2017-09-11 17:30:00,2017-09-11 18:00:00,45,16,91.53333333333336,autumn,Daylight,false,Mon,0102000020110F000011000000C291D4AC1ACA30410E4D325FA6255A417833FCC890CA30412154951888255A413032EE8C35CC30419938E10220255A412A9042B85FCD30419D7CA0F6D5245A41B4AEDAFA2BCE304166FFF1B8A1245A41EDFBA58493CE3041EBC11AE586245A41780B8DFE2CCF3041FBD07A855D245A41A94BA901BCCF30415F7FEBB735245A41BFAF7BD93DD03041F75416D60F245A41A2C813358CD0304115E63341F8235A414F4245CAF3D03041327A9C90D7235A4146A60BD05ED13041CC23FB93B4235A41EA1EAD78BFD130412083610693235A4168B85A9909D230414A8A921679235A41ACB545E76AD23041292097D654235A41C602059FBBD23041A6D6D3AC35235A41EA94A4B021D3304151B1D53F0C235A41
296297121,motorway,120,2017-08-15 00:00:00,2017-08-15 00:30:00,34,19,98.55882352941178,summer,Dark,false,Tue,0102000020110F00000700000045512A386D9C30412AA90B6FD1905A414A8ECCC4BD9B3041DF252172A5905A4171C6E6B2699A3041CA59382D55905A41A306B60B0C9A3041873D54133F905A41213C384E56993041CE41C02C14905A411ACC88FDEF973041AD44C0B6BF8F5A4101E54A4C8397304100B782F2A58F5A41
331718861,motorway,none,2017-10-04 07:30:00,2017-10-04 08:00:00,13,12,92.92307692307693,autumn,Daylight,false,Wed,0102000020110F0000030000005B162C675D9A2C41A043CC64DE935A4106831C315DA22C41F60F2622E6935A41E60A5D53D9A32C4100C14AF1E7935A41
270463020,motorway,none,2017-11-29 16:30:00,2017-11-29 17:00:00,14,11,81.71428571428571,autumn,twilight,false,Wed,0102000020110F0000070000001B8D19B12BEE304119A10728ED355A41ACA0E760DDED304178560D54EE355A417A472730E9EC30410ACF0C71F2355A414ED384D753EC3041FEDAFE30F5355A41847173DFDBEB304155BA19E4F7355A419B0B4C288DEA3041B3B45EB200365A416FED014F4AE93041096BC6460B365A41
153142354,motorway,120,2017-08-12 18:00:00,2017-08-12 18:30:00,6,5,111.0,summer,Daylight,true,Sat,0102000020110F00000600000088B3BAD0280A3141AC36C7C66FEF5A41E430EA0AB40A3141163ACA2FE7EF5A416F2ABF85490B31416D1BCED064F05A41D9E37D665B0B3141BD58FA6874F05A4104CC6332770B31410E8893A490F05A411CF91D86910B31410796B43DB5F05A41
538595069,motorway,none,2017-08-22 09:00:00,2017-08-22 09:30:00,19,7,88.0,summer,Daylight,false,Tue,0102000020110F0000110000008D8BA7F9D3B52B412046CF246A0B5A41ED77D3E016B62B410C6E0702940B5A4164120B855CB62B413458B64BB50B5A41AA502BAF9CB62B416285AF4CCF0B5A41A3E2B885E0B62B41368D6448E60B5A41DCF282136EB72B4167C7D5F2140C5A41028AE088D4B72B41E3927BCF380C5A412ED401B632B82B416DC87C75580C5A410CD3533278B82B416B1486C4770C5A412FA9CC13BBB82B4186EF0A5B9F0C5A413C689DA0E7B82B410311FA58C50C5A41BFFB8B3C04B92B415B3867E2F20C5A41F143AB2708B92B417EEF7DCA240D5A41AECAA371F0B82B41A441804D520D5A41983132F592B82B41D7046E74A90D5A41FC18CA6B1AB82B413C886ED8E80D5A410149D59F3AB72B41654100223A0E5A41
301128590,motorway,signals,2017-09-02 02:00:00,2017-09-02 02:30:00,3,3,85.33333333333333,autumn,Dark,true,Sat,0102000020110F00000900000068509EC4F8D62D415EC7282019A75A413CB6C0E5CDD52D4162B83A020DA75A415A2B3B3FDDD42D41A52A6F9302A75A417BAD76E461D32D419B83EA8CF1A65A41E9678ACC2AD22D41A7D37E1CE3A65A4136A8A1AFC5D02D41056B2876D1A65A4183AEE4EC52CF2D4119E3A393BEA65A41A0FB80EDFBCD2D41E01C6D7FABA65A41CD36A4A73ACD2D41F16076AEA0A65A41
31114447,motorway,none,2017-08-30 22:30:00,2017-08-30 23:00:00,0,0,,summer,Dark,false,Wed,0102000020110F000014000000EACDF95F2BD72B41B54A4F76D4A05A419FA9BA3C5FD62B41C41E81809DA05A4148E76367DDD42B413EEF871E32A05A414DC610388DD32B41C2491BF5D09F5A41C099F24000D22B411531500E569F5A41131CB7BED8D02B41206BC02FED9E5A41C8EFEB50C9D02B417513B6B5E79E5A41E9931CD741D02B41302AB83AB49E5A410E3ADE6AEECF2B4120F8E93C929E5A41486FA77894CF2B4126F5CC956D9E5A41041F329223CF2B417B64271B3B9E5A41EB65BBB18FCE2B41ABB7074CF39D5A4181F736D72BCE2B4134145739BE9D5A417787D430B2CD2B41584DA266769D5A413138606B6ECD2B419E8EBD214B9D5A4146950DC500CD2B411C658941FF9C5A412EB072E664CC2B417BADCC10829C5A413AD6EF8DE7CB2B417A9A09C60A9C5A41D1F452546FCB2B4175E504ED899B5A41EF02219328CB2B41FC4C9674409B5A41
