ID	Name	Venue	Category	Start Time	No Participants	Reoccurring	Most Popular Entity	Entity Popularity	Additional Information
208	Anke Engelke und Devid Striesow: More Leters Of Note	Theater am Aegi	show	2017-12-10 20:00:00.000000		false	Anke Engelke	400000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Anke-Engelke-und-Devid-Striesow-lesen-im-Theater-am-Aegi-Briefe-aus-der-Geschichte
209	Aschenputtel – das Musical	Theater am Aegi	show	2018-07-01 15:00:00.000000		false	--		
212	Benjamin Tomkins: King Kong und die weiße Barbie	Theater am Aegi	comedy	2017-11-11 20:00:00.000000		false	Benjamin Tomkins	354000	http://www.theater-am-aegi.de/termine/benjamin-tomkins/
216	Cinderella — Das märchenhafte Popmusical	Theater am Aegi	other	2017-11-18 14:00:00.000000		false			
219	Das Phantom der Oper	Theater am Aegi	show	2018-01-14 18:00:00.000000		false			http://www.haz.de/Abo/AboPlus/AboPlus-Highlights/Das-Phantom-der-Oper3
221	Der kleine Prinz	Theater am Aegi	show	2017-12-17 18:00:00.000000		false			
222	Der Nussknacker – Bolschoi ...	Theater am Aegi	show	2017-12-26 19:30:00.000000		false			Der Nussknacker – Bolschoi ...
223	Die große Andrew Lloyd Webber Gala	Theater am Aegi	show	2018-06-01 18:00:00.000000		false	Andrew Lloyd Webber	8880000	http://www.theater-am-aegi.de/termine/die-grosse-andrew-lloyd-webber-gala/
224	Emmi & Willnowsky	Theater am Aegi	other	2017-10-26 20:00:00.000000		false	Emmi & Willnowsky	115000	
227	Feuerwehrmann Sam rettet den Zirkus	Theater am Aegi	show	2017-10-25 17:00:00.000000		false	Feuerwehrmann Sam	1650000	
228	GEO-Reporter live	Theater am Aegi	other	2017-11-13 19:30:00.000000		false	Geo Magazin	657000	
232	Herbert Knebels Affentheater: Rocken bis qualmt	Theater am Aegi	concert	2017-10-12 19:00:00.000000		false	Rocken bis qualmt	35200	http://mimuse.de/mimuse/programm/event/433-herbert-knebels-affentheater-rocken-bis-qualmt-mit-henjek-und-stenjek-popolski
233	Horror	Theater am Aegi	comedy	2017-12-09 20:00:00.000000		false	Horror Akop Ahlbom	35500	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Horror-feiert-Hannover-Premiere
238	Joel Brandenstein	Theater am Aegi	concert	2017-11-10 20:00:00.000000		false	Joel Brandenstein	296000	http://www.neuepresse.de/Nachrichten/Kultur/Joel-Brandenstein-verbreitet-Diese-Liebe
239	Johann König: Milchbrötchenrechnung	Theater am Aegi	comedy	2017-12-05 20:00:00.000000	1200	false	Johann König	12100000	http://www.neuepresse.de/Nachrichten/Kultur/Johann-Koenig-im-ausverkauften-Aegi
241	Joja Wendt – Die Kunst des Unmöglichen	Theater am Aegi	concert	2017-11-21 20:00:00.000000		false	Joja Wendt	96500	http://www.neuepresse.de/Nachrichten/Kultur/Aegi-Theater-Jazz-Hits-und-Digital-Klassik-mit-Joja-Wendt
247	Let’s Burlesque	Theater am Aegi	show	2017-10-14 20:00:00.000000		false	-		
248	Maite Kelly	Theater am Aegi	concert	2017-11-14 20:00:00.000000		false	Maite Kelly	387000	http://www.neuepresse.de/Nachrichten/Kultur/Maite-Kelly-im-Theater-am-Aegi
250	Marlene Jaschke: Nie wieder vielleicht	Theater am Aegi	other	2017-11-16 20:00:00.000000		false	Marlene Jaschke	186000	
251	Marshall & Alexander: 20 Jahre Hand in Hand – Das Jubiläumskonzert	Theater am Aegi	other	2017-11-22 19:30:00.000000		false	Marshall & Alexander duo	525000	
254	Maybebop & Friends	Theater am Aegi	concert	2017-10-19 20:00:00.000000		false	Maybebop 	125000	
255	Maybebop & Friends	Theater am Aegi	concert	2017-10-20 19:00:00.000000		false	Maybebop 	125000	
256	Maybebop: Weihnachtsprogramm für Euch	Theater am Aegi	concert	2017-12-20 20:00:00.000000		false	Maybebop 	125000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Maybebop-geben-Weihnachtskonzert-im-Theater-am-Aegi-in-Hannover
257	Maybebop: Weihnachtsprogramm für Euch	Theater am Aegi	concert	2017-12-21 20:00:00.000000		false	Maybebop 	125000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Maybebop-geben-Weihnachtskonzert-im-Theater-am-Aegi-in-Hannover
258	Maybebop: Weihnachtsprogramm für Euch	Theater am Aegi	concert	2017-12-22 15:00:00.000000		false	Maybebop 	125000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Maybebop-geben-Weihnachtskonzert-im-Theater-am-Aegi-in-Hannover
260	Michael Patrick Kelly	Theater am Aegi	concert	2018-08-01 20:00:00.000000	1200	false	Michael Patrick Kelly	122000000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Michael-Patrick-Kelly-spielt-im-ausverkauften-Theater-am-Aegi
262	Oliver Pocher	Theater am Aegi	comedy	2017-10-22 20:00:00.000000		false	Oliver Pocher	396000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/So-war-Oliver-Pocher-im-Theater-am-Aegi
264	Ralf Schmitz: Schmitzenklasse	Theater am Aegi	comedy	2017-11-29 20:00:00.000000		false	Ralf Schmitz	458000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Ralf-Schmitz-praesentiert-neues-Programm-Schmitzenklasse-in-Hannover
265	Ralf Schmitz: Schmitzenklasse	Theater am Aegi	comedy	2017-11-30 20:00:00.000000		false	Ralf Schmitz	458000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Ralf-Schmitz-praesentiert-neues-Programm-Schmitzenklasse-in-Hannover
269	Schwanensee – Bolschoi Staatsballett Belarus	Theater am Aegi	show	2017-12-27 19:30:00.000000		false	Bolschoi Staatsballett Belarus	47700	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Bolschoi-Staatsballett-Belarus-zeigt-Tschaikowskis-Schwanensee-im-Theater-am-Aegi
270	Schwanensee – Bolschoi Staatsballett Belarus	Theater am Aegi	show	2017-12-28 19:30:00.000000		false	Bolschoi Staatsballett Belarus	47700	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Bolschoi-Staatsballett-Belarus-zeigt-Tschaikowskis-Schwanensee-im-Theater-am-Aegi
271	Slam 2017	Theater am Aegi	other	2017-10-24 20:00:00.000000		false	Hannover, Slam City	1300000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Eroeffnungsgala-fuer-die-Deutschen-Meisterschaften-im-Poetry-Slam-in-Hannover
275	The Gospel People: Peace For The World	Theater am Aegi	concert	2018-12-01 20:00:00.000000		false	The Gospel People	3530000	
276	Thommy Ten und Amélie van Tass	Theater am Aegi	show	2017-10-31 20:00:00.000000		false	Thommy Ten und Amélie van Tass	209000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Mentalmagier-treten-im-Theater-am-Aegi-in-Hannover-auf
277	Tim Bendzko	Theater am Aegi	concert	2017-10-15 20:00:00.000000	1000	false	Tim Bendzko	1700000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Tim-Bendzko-und-das-moeblierte-Wohlgefuehl
279	Torsten Sträter: Es ist nie zu spät, unpünktlich zu sein	Theater am Aegi	comedy	2017-11-17 20:00:00.000000		false	Torsten Sträter	222000	
